resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states
Action,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update']",[],[],"['CreateAction', 'DeleteAction', 'DescribeAction', 'ListActions', 'UpdateAction']","[{'name': 'Status', 'shape_name': 'ActionStatus'}]","['Unknown', 'InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Algorithm,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateAlgorithm', 'DeleteAlgorithm', 'DescribeAlgorithm', 'ListAlgorithms']","[{'name': 'AlgorithmStatus', 'shape_name': 'AlgorithmStatus'}]","['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting']"
App,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'wait_for_delete', 'wait_for_status']","['Space', 'UserProfile']",[],"['CreateApp', 'DeleteApp', 'DescribeApp', 'ListApps']","[{'name': 'Status', 'shape_name': 'AppStatus'}]","['Deleted', 'Deleting', 'Failed', 'InService', 'Pending']"
AppImageConfig,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update']",[],[],"['CreateAppImageConfig', 'DeleteAppImageConfig', 'DescribeAppImageConfig', 'ListAppImageConfigs', 'UpdateAppImageConfig']",[],[]
Artifact,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update']",[],[],"['CreateArtifact', 'DeleteArtifact', 'DescribeArtifact', 'ListArtifacts', 'UpdateArtifact']",[],[]
Association,resource,['get_all'],['delete'],[],[],"['DeleteAssociation', 'ListAssociations']",[],[]
AutoMLJob,resource,"['create', 'get', 'get_all']","['refresh', 'stop', 'wait']",[],[],"['CreateAutoMLJob', 'DescribeAutoMLJob', 'ListAutoMLJobs', 'StopAutoMLJob']","[{'name': 'AutoMLJobStatus', 'shape_name': 'AutoMLJobStatus'}]","['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping']"
AutoMLJobV2,resource,"['create', 'get']","['refresh', 'wait']",['AutoMLJob'],[],"['CreateAutoMLJobV2', 'DescribeAutoMLJobV2']","[{'name': 'AutoMLJobStatus', 'shape_name': 'AutoMLJobStatus'}]","['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping']"
Cluster,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],"['DescribeClusterNode', 'ListClusterNodes']","['CreateCluster', 'DeleteCluster', 'DescribeCluster', 'ListClusters', 'UpdateCluster']","[{'name': 'ClusterStatus', 'shape_name': 'ClusterStatus'}]","['Creating', 'Deleting', 'Failed', 'InService', 'RollingBack', 'SystemUpdating', 'Updating']"
ClusterSchedulerConfig,resource,"['create', 'get', 'get_all']","['delete', 'refresh', 'update', 'wait_for_delete', 'wait_for_status']",[],[],"['CreateClusterSchedulerConfig', 'DeleteClusterSchedulerConfig', 'DescribeClusterSchedulerConfig', 'ListClusterSchedulerConfigs', 'UpdateClusterSchedulerConfig']","[{'name': 'Status', 'shape_name': 'SchedulerResourceStatus'}]","['Creating', 'CreateFailed', 'CreateRollbackFailed', 'Created', 'Updating', 'UpdateFailed', 'UpdateRollbackFailed', 'Updated', 'Deleting', 'DeleteFailed', 'DeleteRollbackFailed', 'Deleted']"
